surligneurs	catégorie
Alors que la ministre de l'Enseignement supérieur souhaite une enquête sur ce qu'elle appelle l'islamo-gauchisme, Jean-Paul Markus, professeur de droit, rappelle qu'en réalité c'est le principe de neutralité du service public qui est en cause.	education
L’enseignement des langues à l’école relève du code de l’éducation et pas de la loi de 1905 sur la laïcité. Si cet enseignement n’est pas basé sur des textes religieux et s’il ne sert pas de prétexte à l’apprentissage de la religion à l’école, il n’enfreint pas plus les principes de laïcité ou de neutralité que l’apprentissage du chinois ou de l’allemand.	education
Les présidents d’universités, en tant qu’enseignants-chercheurs, bénéficient d’un principe d’indépendance et ne sont pas placés sous l’autorité hiérarchique du ministre de l’Enseignement supérieur. Mais en tant que présidents, ils sont tenus d’appliquer l’arrêté ministériel fixant les nouveaux tarifs sauf à se mettre en faute… du moins dès que cet arrêté sera publié.	education
Ce décret est issu d’un accord du 31 mars 2017 entre le Gouvernement de la République française et le Gouvernement de la République tunisienne. Il s’agit d’un traité bilatéral impliquant la France et la Tunisie : qu’on aime ou qu’on n’aime pas ce traité, il ne vient pas d’une obligation européenne.	education
L’état du droit ne permet pas actuellement d’interdire de manière inconditionnelle le port du voile pour les mères accompagnatrices de sorties scolaires. Si le Président de la République faisait-là référence à une loi en préparation, cela clarifierait enfin cette question.	education
La proposition de loi du RN contre les idéologies islamistes a le mérite de tenter une définition de l’islamiste radical en tant qu’il constitue un danger pour la démocratie, et donc de conforter l’État de droit. Mais soit cette proposition est trop floue et donc elle menace l’État de droit. Soit, le plus souvent, elle applique à l’islamisme radical des sanctions qui existent déjà.	criminalite
Interdire de montrer les visages des forces de l’ordre en opération aura des limites, car le droit européen permet aux journalistes au sens large de se soustraire à cette obligation.	criminalite
Seul un juge peut affirmer juridiquement que la place d’une personne est en prison. Christian Estrosi peut avoir son opinion bien sûr, mais en tant que représentant politique, il ne peut bafouer le principe de présomption d'innocence.	criminalite
On a beau se référer aux tableaux du ministère de l’Intérieur, on ne trouve nulle par le chiffre de 900 agressions par jour. Selon les modes de calculs, on en trouve… bien plus. Qu’entend M. Bardella par « agression » ? Quelles catégories de violences y met-il pour aboutir à ce chiffre ? Mystère…	criminalite
En l’état actuel du droit, expulser les mineurs non accompagnés contrevient à la fois au droit français et au droit international. À supposer qu’une majorité parlementaire RN modifie un jour ce droit national, il faudrait aussi modifier les conventions internationales ratifiées par la France, ou les dénoncer.	criminalite
En l’état actuel de l’ordonnancement juridique et compte tenu des obligations conventionnelles, il paraît difficile d’envisager d’interdire aux enfants mineurs de six à seize ans, même séjournant irrégulièrement sur le territoire national, d’être scolarisés.	education
Emmanuel Macron évoque une idée qui existe déjà, le programme Erasmus+ prévoyant la mobilité pour un stage ou une formation professionnelle.	education
Les propos de Karine Le Marchand sont juridiquement inexacts et contribuent à entretenir un climat de défiance envers la loi pénale et plus largement envers la justice pénale, ce qui n’aide en rien la cause des victimes.	criminalite
La proposition de loi du RN contre les idéologies islamistes a le mérite de tenter une définition de l’islamiste radical en tant qu’il constitue un danger pour la démocratie, et donc de conforter l’État de droit. Mais soit cette proposition est trop floue et donc elle menace l’État de droit. Soit, le plus souvent, elle applique à l’islamisme radical des sanctions qui existent déjà.	criminalite
